,sensor1,sensor2
429,51.0,48.0
430,51.0,48.0
431,51.0,48.0
432,51.0,48.0
433,51.0,48.0
434,51.0,48.0
435,51.0,48.0
436,51.0,48.0
437,51.0,48.0
438,51.0,48.0
439,51.0,48.0
440,51.0,48.0
441,51.0,48.0
442,51.0,48.0
443,51.0,48.0
444,51.0,48.0
445,51.0,48.0
446,51.0,48.0
447,51.0,48.0
448,51.0,48.0
449,51.0,48.0
450,51.0,48.0
451,51.0,48.0
452,51.0,48.0
453,51.0,48.0
454,51.0,48.0
455,51.0,48.0
456,51.0,48.0
457,51.0,48.0
458,51.0,48.0
459,51.0,48.0
460,51.0,48.0
461,51.0,48.0
462,51.0,48.0
463,51.0,48.0
464,51.0,48.0
465,51.0,48.0
466,51.0,48.0
467,51.0,48.0
468,51.0,48.0
469,51.0,48.0
470,51.0,48.0
471,51.0,48.0
472,51.0,48.0
473,51.0,48.0
474,51.0,48.0
475,51.0,48.0
476,51.0,48.0
477,51.0,48.0
478,51.0,48.0
479,51.0,48.0
480,51.0,48.0
481,51.0,48.0
482,51.0,48.0
483,51.0,48.0
484,51.0,48.0
485,51.0,48.0
486,51.0,48.0
487,51.0,48.0
488,51.0,48.0
489,51.0,48.0
490,51.0,48.0
491,51.0,48.0
492,51.0,48.0
493,51.0,48.0
494,51.0,48.0
495,51.0,48.0
496,51.0,48.0
497,51.0,48.0
498,51.0,48.0
499,51.0,48.0
500,51.0,48.0
501,51.0,48.0
502,51.0,48.0
503,51.0,48.0
504,51.0,48.0
505,51.0,48.0
506,51.0,48.0
507,51.0,48.0
508,51.0,48.0
509,51.0,48.0
510,51.0,48.0
511,51.0,48.0
512,51.0,48.0
513,51.0,48.0
514,51.0,48.0
515,51.0,48.0
516,51.0,48.0
517,51.0,48.0
518,51.0,48.0
519,51.0,48.0
520,51.0,48.0
521,51.0,47.8956060760526
522,51.0,47.69578958099703
523,51.0,47.49597308594147
524,51.0,47.29615659088592
525,51.0,47.09634009583036
526,51.0,47.0
527,51.0,47.0
528,51.0,47.0
529,51.0,47.0
530,51.0,47.0
531,51.0,47.10255887450302
532,51.0,47.302375369558575
533,51.0,47.50219186461413
534,51.0,47.702008359669705
535,51.0,47.90182485472526
536,51.0,48.0
537,51.0,48.0
538,51.0,48.0
539,51.0,48.0
540,51.0,48.0
541,51.0,47.89927617494138
542,51.0,47.699459679885805
543,51.0,47.49964318483025
544,51.0,47.29982668977469
545,51.0,47.10001019471913
546,51.0,47.09980630033644
547,51.0,47.299622795392
548,51.0,47.49943929044756
549,51.0,47.69925578550311
550,51.0,47.89907228055869
551,51.0,48.0
552,51.0,48.0
553,51.0,48.0
554,51.0,48.0
555,51.0,48.0
556,51.0,48.0
557,51.0,48.0
558,51.0,48.0
559,51.0,48.0
560,51.0,48.0
561,51.0,47.90294627383015
562,51.0,47.70312977877458
563,51.0,47.503313283719024
564,51.0,47.303496788663466
565,51.0,47.10368029360791
566,51.0,47.0
567,51.0,47.0
568,51.0,47.0
569,51.0,47.0
570,51.0,47.0
571,51.0,47.0
572,51.0,47.0
573,51.0,47.0
574,51.0,47.0
575,51.0,47.0
576,51.0,47.0
577,51.0,47.0
578,51.0,47.0
579,51.0,47.0
580,51.0,47.0
581,51.0,47.0
582,51.0,47.0
583,51.0,47.0
584,51.0,47.0
585,51.0,47.0
586,51.0,47.0
587,51.0,47.0
588,51.0,47.0
589,51.0,47.0
590,51.0,47.0
591,51.0,47.0
592,51.0,47.0
593,51.0,47.0
594,51.0,47.0
595,51.0,47.0
596,51.0,47.0
597,51.0,47.0
598,51.0,47.0
599,51.0,47.0
600,51.0,47.0
601,51.0,47.0
602,51.0,47.0
603,51.0,47.0
604,51.0,47.0
605,51.0,47.0
606,51.0,47.08879600367011
607,51.0,47.28861249872567
608,51.0,47.48842899378123
609,51.0,47.68824548883679
610,51.0,47.88806198389236
611,51.0,47.912121521052086
612,51.0,47.71230502599653
613,51.0,47.51248853094097
614,51.0,47.3126720358854
615,51.0,47.11285554082984
616,51.0,47.08696095422572
617,51.0,47.28677744928128
618,51.0,47.486593944336846
619,51.0,47.6864104393924
620,51.0,47.88622693444796
621,51.0,47.91395657049648
622,51.0,47.71414007544091
623,51.0,47.51432358038535
624,51.0,47.314507085329794
625,51.0,47.11469059027424
626,51.0,47.085125904781336
627,51.0,47.28494239983689
628,51.0,47.48475889489245
629,51.0,47.68457538994801
630,51.0,47.88439188500358
631,51.0,48.0
632,51.0,48.0
633,51.0,48.0
634,51.0,48.0
635,51.0,48.0
636,51.0,48.0
637,51.0,48.0
638,51.0,48.0
639,51.0,48.0
640,51.0,48.0
641,51.0,48.0
642,51.0,48.0
643,51.0,48.0
644,51.0,48.0
645,51.0,48.0
646,51.0,48.0
647,51.0,48.0
648,51.0,48.0
649,51.0,48.0
650,51.0,48.0
651,51.0,48.0
652,51.0,48.0
653,51.0,48.0
654,51.0,48.0
655,51.0,48.0
656,51.0,48.0
657,51.0,48.0
658,51.0,48.0
659,51.0,48.0
660,51.0,48.0
661,51.0,48.0
662,51.0,48.0
663,51.0,48.0
664,51.0,48.0
665,51.0,48.0
666,51.0,48.0
667,51.0,48.0
668,51.0,48.0
669,51.0,48.0
670,51.0,48.0
671,51.0,48.0
672,51.0,48.0
673,51.0,48.0
674,51.0,48.0
675,51.0,48.0
676,51.0,48.0
677,51.0,48.0
678,51.0,48.0
679,51.0,48.0
680,51.0,48.0
681,51.0,48.0
682,51.0,48.0
683,51.0,48.0
684,51.0,48.0
685,51.0,48.0
686,51.0,48.0
687,51.0,48.0
688,51.0,48.0
689,51.0,48.0
690,51.0,48.0
691,51.0,48.0
692,51.0,48.0
693,51.0,48.0
694,51.0,48.0
695,51.0,48.0
696,51.0,48.0
697,51.0,48.0
698,51.0,48.0
699,51.0,48.0
700,51.0,48.0
701,51.0,48.0
702,51.0,48.0
703,51.0,48.0
704,51.0,48.0
705,51.0,48.0
706,51.0,48.0
707,51.0,48.0
708,51.0,48.0
709,51.0,48.0
710,51.0,48.0
711,51.0,48.0
712,51.0,48.0
713,51.0,48.0
714,51.0,48.0
715,51.0,48.0
716,51.0,48.0
717,51.0,48.0
718,51.0,48.0
719,51.0,48.0
720,51.0,48.0
721,51.0,48.0
722,51.0,48.0
723,51.0,48.0
724,51.0,48.0
725,51.0,48.0
726,51.0,48.0
727,51.0,48.0
728,51.0,48.0
729,51.0,48.0
730,51.0,48.0
731,51.0,48.0
732,51.0,48.0
733,51.0,48.0
734,51.0,48.0
735,51.0,48.0
736,51.0,48.0
737,51.0,48.0
738,51.0,48.0
739,51.0,48.0
740,51.0,48.0
741,51.0,48.0
742,51.0,48.0
743,51.0,48.0
744,51.0,48.0
745,51.0,48.0
746,51.0,48.0
747,51.0,48.0
748,51.0,48.0
749,51.0,48.0
750,51.0,48.0
751,51.0,48.0
752,51.0,48.0
753,51.0,48.0
754,51.0,48.0
755,51.0,48.0
756,51.0,48.0
757,51.0,48.0
758,51.0,48.0
759,51.0,48.0
760,51.0,48.0
761,51.0,48.0
762,51.0,48.0
763,51.0,48.0
764,51.0,48.0
765,51.0,48.0
766,51.0,48.0
767,51.0,48.0
768,51.0,48.0
769,51.0,48.0
770,51.0,48.0
771,51.0,48.0
772,51.0,48.0
773,51.0,48.0
774,51.0,48.0
775,51.0,48.0
776,51.0,48.0
777,51.0,48.0
778,51.0,48.0
779,51.0,48.0
780,51.0,48.0
781,51.0,48.0
782,51.0,48.0
783,51.0,48.0
784,51.0,48.0
785,51.0,48.0
786,51.0,48.0
787,51.0,48.0
788,51.0,48.0
789,51.0,48.0
790,51.0,48.0
791,51.0,48.0
792,51.0,48.0
793,51.0,48.0
794,51.0,48.0
795,51.0,48.0
796,51.0,48.0
797,51.0,48.0
798,51.0,48.0
799,51.0,48.0
800,51.0,48.0
801,51.0,48.0
802,51.0,48.0
803,51.0,48.0
804,51.0,48.0
805,51.0,48.0
806,51.0,48.0
807,51.0,48.0
808,51.0,48.0
809,51.0,48.0
810,51.0,48.0
811,51.0,48.0
812,51.0,48.0
813,51.0,48.0
814,51.0,48.0
815,51.0,48.0
816,51.0,48.0
817,51.0,48.0
818,51.0,48.0
819,51.0,48.0
820,51.0,48.0
821,51.0,47.95065755938424
822,51.0,47.750841064328654
823,51.0,47.551024569273096
824,51.0,47.35120807421754
825,51.0,47.15139157916198
826,51.0,47.0
827,51.0,47.0
828,51.0,47.0
829,51.0,47.0
830,51.0,47.0
831,51.0,47.04750739117139
832,51.0,47.24732388622695
833,51.0,47.44714038128251
834,51.0,47.64695687633807
835,51.0,47.84677337139362
836,51.0,47.95341013355082
837,51.0,47.75359363849526
838,51.0,47.55377714343968
839,51.0,47.35396064838412
840,51.0,47.15414415332856
841,51.0,47.0
842,51.0,47.0
843,51.0,47.0
844,51.0,47.0
845,51.0,47.0
846,51.0,47.044754817004815
847,51.0,47.24457131206037
848,51.0,47.44438780711593
849,51.0,47.64420430217149
850,51.0,47.844020797227046
851,51.0,48.0
852,51.0,48.0
853,51.0,48.0
854,51.0,48.0
855,51.0,48.0
856,51.0,48.0
857,51.0,48.0
858,51.0,48.0
859,51.0,48.0
860,51.0,48.0
861,51.0,48.0
862,51.0,48.0
863,51.0,48.0
864,51.0,48.0
865,51.0,48.0
866,51.0,48.0
